Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;FRITZ!Box 6360 Cable;24:65:11:EA:5E:FC;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Sat Nov  5 01:59:36 2016;Sat Nov  5 01:59:37 2016;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;FRITZ!Box 6490 Cable 2g;9C:C7:A6:FC:D7:C2;;1;No;WPA2,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Sat Nov  5 01:59:36 2016;Sat Nov  5 01:59:39 2016;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ARRIS-3772;3C:7A:8A:F8:37:70;;6;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Sat Nov  5 01:59:41 2016;Sat Nov  5 01:59:45 2016;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;4CE6766494F4;4C:E6:76:64:94:F4;;5;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;39;0;0;0;0;0;;;Sat Nov  5 01:59:41 2016;Sat Nov  5 01:59:46 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;LG_MusicFlow_DL_3120;C8:02:10:5D:6C:41;;1;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Sat Nov  5 01:59:36 2016;Sat Nov  5 01:59:41 2016;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;FRITZ!Box 6360 Cable;5C:49:79:57:FB:73;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;49;0;0;0;0;0;;;Sat Nov  5 01:59:36 2016;Sat Nov  5 01:59:41 2016;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;FRITZ!Box 4020 HW;C8:0E:14:32:84:F5;;11;No;WPA2,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Sat Nov  5 01:59:46 2016;Sat Nov  5 01:59:47 2016;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ARRIS-A78A;3C:7A:8A:82:A7:88;;11;No;WPA2,AES-CCM;No;54.0;0;9;0;0;0;0;0;;;Sat Nov  5 01:59:46 2016;Sat Nov  5 01:59:47 2016;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
