Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;haco;C8:0E:14:29:8F:47;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Sat Nov  5 01:52:55 2016;Sat Nov  5 01:54:35 2016;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;3C:7A:8A:F8:37:76;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Nov  5 01:45:42 2016;Sat Nov  5 01:52:01 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;DOCWESKER-PC_Network_1;54:E6:FC:DB:9A:DE;;9;No;WPA2,AES-CCM;No;54.0;0;12;0;0;0;0;0;;;Sat Nov  5 01:51:51 2016;Sat Nov  5 01:54:30 2016;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ARRIS-58D2;3C:7A:8A:F8:58:D0;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Sat Nov  5 01:51:52 2016;Sat Nov  5 01:55:01 2016;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DuBart;A0:21:B7:B4:85:4A;;11;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Sat Nov  5 01:45:56 2016;Sat Nov  5 01:56:40 2016;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;FRITZ!Box 6360 Cable Brueggen;08:96:D7:7A:FC:FD;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;47;0;1;0;0;1;;;Sat Nov  5 01:45:09 2016;Sat Nov  5 01:56:38 2016;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;FRITZ!Box 6360 Cable;38:10:D5:0F:A8:74;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;336;0;0;0;0;0;;;Sat Nov  5 01:45:54 2016;Sat Nov  5 01:56:38 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Adler;00:19:5B:BD:62:6D;;6;No;WPA,TKIP;No;54.0;0;417;0;0;0;0;0;;;Sat Nov  5 01:45:27 2016;Sat Nov  5 01:57:55 2016;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;FRITZ!Box 6490 Cable 2g;9C:C7:A6:FC:D7:C2;;1;No;WPA2,AES-CCM;No;54.0;0;366;0;4;0;0;4;;;Sat Nov  5 01:45:05 2016;Sat Nov  5 01:57:37 2016;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;FRITZ!Box 6360 Cable;24:65:11:EA:5E:FC;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;726;0;77;0;0;77;;;Sat Nov  5 01:45:05 2016;Sat Nov  5 01:57:52 2016;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
