Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;FRITZ!Box 6360 Cable;24:65:11:EA:5E:FC;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;3;0;0;3;;;Sat Nov  5 02:00:28 2016;Sat Nov  5 02:00:32 2016;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ARRIS-3772;3C:7A:8A:F8:37:70;;6;No;WPA2,AES-CCM;No;54.0;0;18;0;0;0;0;0;;;Sat Nov  5 02:00:33 2016;Sat Nov  5 02:00:37 2016;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;FRITZ!Box 6490 Cable 2g;9C:C7:A6:FC:D7:C2;;1;No;WPA2,AES-CCM;No;54.0;0;15;0;0;0;0;0;;;Sat Nov  5 02:00:28 2016;Sat Nov  5 02:00:32 2016;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;4CE6766494F4;4C:E6:76:64:94:F4;;5;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;39;0;0;0;0;0;;;Sat Nov  5 02:00:28 2016;Sat Nov  5 02:00:37 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;LG_MusicFlow_DL_3120;C8:02:10:5D:6C:41;;1;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Sat Nov  5 02:00:28 2016;Sat Nov  5 02:00:32 2016;-40;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;FRITZ!Box 6360 Cable;5C:49:79:57:FB:73;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;48;0;2;0;0;2;;;Sat Nov  5 02:00:28 2016;Sat Nov  5 02:00:32 2016;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ARRIS-A78A;3C:7A:8A:82:A7:88;;11;No;WPA2,AES-CCM;No;54.0;0;23;0;0;0;0;0;;;Sat Nov  5 02:00:38 2016;Sat Nov  5 02:00:40 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;FRITZ!Box 4020 HW;C8:0E:14:32:84:F5;;11;No;WPA2,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Sat Nov  5 02:00:38 2016;Sat Nov  5 02:00:40 2016;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
